id,intLeft,intRight
308,0.5667599679130543,0.5947176178375341
496,0.5947176178375341,0.7723261553330336
581,0.5091070771653248,0.5106494224778795
687,0.11548369813189222,0.2939477451248777
720,0.4459064085009294,0.46578326753704974
846,0.4073418501211431,0.4134879218461976
1295,0.4750595646007281,0.521771140651854
1618,0.2939477451248777,0.4750595646007281
1818,0.5526508889779731,0.5946277005515447
1930,0.3381364309908387,0.43029671890288285
2321,0.521771140651854,0.5667599679130543
2693,0.44789143161773853,0.46223694234824986
2765,0.47758426121644826,0.4870495963031191
3965,0.7015355263700915,0.7171336252539244
4210,0.5156463019549146,0.520206475294874
4418,0.4995933401596159,0.5204185164862435
4795,0.5121906624832155,0.5333269211022524
4795,0.5651593469237342,0.5687656176566211
4795,0.5707230986162574,0.5763193318248054
4795,0.5782795031214776,0.6348181669249559
5598,0.08529300336836111,0.10049682821618698
6242,0.8253964515721774,1.0
6348,0.46578326753704974,0.4890292258846967
6348,0.4935338934264908,0.5281942397337948
6367,0.4294996195631334,0.43305758706837955
6402,0.0,0.11548369813189222
7580,0.7996732080450093,0.8253964515721774
7666,0.4134879218461976,0.41664247348622135
7964,0.7723261553330336,1.0
8274,0.44240356668118763,0.4523373404139939
8274,0.45293964452834856,0.4587822695992053
8330,0.78397366260219,0.7850708975953551
8746,0.6942369831434857,0.6958026114665543
9079,0.4024958255402839,0.4287241944072243
9079,0.4438911530844173,0.4458327842645208
9569,0.44833036619399624,0.45022368955359465
9714,0.9072056845094991,0.9436645191368265
