id,intLeft,intRight
19,0.9349966831683676,0.9699225361374942
44,0.4325077893888739,0.5829404260320769
53,0.20571952987906567,0.21231449266634206
53,0.2736778018944135,0.2774571338999732
88,0.3997045614224934,0.5977193098022768
136,0.34548159290296104,0.3997045614224934
214,0.6143365135584166,0.6161330822604535
214,0.6786453222524143,0.6813735420763012
655,0.5977193098022768,1.0
683,0.0,0.15370579879887752
707,0.2545630333026229,0.3371272511937182
735,0.648912049588982,0.6922912509727801
755,0.15370579879887752,0.34548159290296104
