id,x1,x2,x3
1,0.0,0.959525241531256,0.6748655032383164
3,0.19053962846111938,0.9248600372721938,0.7347447876904549
4,0.2436939921271989,0.0005328387707616011,0.6399536922542052
19,0.6976455600181082,0.97457365578301,0.5856639534341925
21,0.7203873481843257,0.9982407548519252,0.5639097070640817
43,0.8401267632454879,0.651440427490223,0.34920592251696214
117,0.9487956843866998,0.0005328387707616011,0.6351652132772766
120,0.9527034057753219,0.0005328387707616011,0.5819632763805407
142,0.9644490858950123,0.5693912368344316,0.4190259602943337
260,0.8882831250056515,0.9187243573666584,0.0
473,0.9732403399697589,0.32413070947968925,0.36756235596033016
549,0.9815657094934505,0.0,0.5494188234535112
620,0.5712932250642109,0.9168818797857748,0.6219144597011501
621,0.6281101089074868,0.9804759824751089,0.5827517983677595
695,0.7292348359099817,0.49332459328788514,0.48922771439733626
758,0.9817243333759359,0.8676481797705348,0.18636358748830661
1199,0.8773626849597882,0.32413070947968925,0.6275792733411469
1200,0.8850966564235947,0.32413070947968925,0.5707089171084182
1206,0.9388476366323637,0.32413070947968925,0.5680136055884704
1350,0.9743632135111199,0.0,0.6875768360913682
1472,0.9225578951303592,0.43827866304904783,0.4498016150363975
1495,0.898352569965571,0.43827866304904783,0.5397415081558263
